place_name,place_address,category,keywords
BBQ치킨 판교테크노밸리점,대한민국 경기도 성남시 분당구 판교역로 231,음식점,
BHC치킨 판교점,대한민국 경기도 성남시 대왕판교로606번길 47,음식점,"데이트,새로오픈"
CU분당백현점,대한민국 경기도 성남시 분당구 백현동 590-1,편의점,
GS25 S판교역점,대한민국 경기도 성남시 분당구 삼평동 67번지 매장 1호,편의점,
GS25 S판교역점,대한민국 경기도 성남시 분당구 판교역로 160,편의점,
GS25 삼평점,대한민국 경기도 성남시 분당구 삼평동 판교로 393,편의점,
GS25 판교H스퀘어점,대한민국 경기도 성남시 분당구 대왕판교로 670,편의점,
GS25 판교NS점,대한민국 경기도 성남시 분당구 삼평동 412,편의점,
GS25 판교뉴도서관점,대한민국 경기도 성남시 분당구 운중로243번길 12,편의점,취식공간
GS25 판교삼환점,대한민국 경기도 성남시 분당구 판교역로 230,편의점,
GS25 판교예미지점,대한민국 경기도 성남시 분당구 삼평동 119,편의점,취식공간
GS25 판교테크노밸리점,대한민국 경기도 성남시 수정구 대왕판교로 815 109호,편의점,
GS25판교알파점,대한민국 성남시 분당구 분당구 내곡로 131,편의점,
Gate 9,"9층, 현대백화점 판교점 146번길 20 판교역로 분당구 성남시 경기도 대한민국",음식점,"데이트,새로오픈"
규카츠정 판교점,대한민국 경기도 성남시 분당구 판교역로 231 에이치스퀘어 S동 1층 115호,카페,조용한
느린마을 양조장 판교점,대한민국 경기도 성남시 분당구 백현동 531,음식점,"데이트,새로오픈,인기많은"
데이빗앤룰스 판교점,대한민국 경기도 성남시 판교로319번길 13 디테라스 B1층,카페,"분위기좋은,조용한,카공"
돈블랑 판교점,대한민국 경기도 성남시 분당구 대왕판교로606번길 10,음식점,"데이트,새로오픈,인기많은,주차,혼밥"
루프일레븐(ROOF 11),대한민국 경기도 성남시 분당구 판교역로 192번길 16 판교타워 11층,카페,"분위기좋은,인테리어"
매드후라이치킨 판교점,대한민국 경기도 성남시 분당구 판교역로192번길 14-1,음식점,새로오픈
맥도날드 동판교점,대한민국 경기도 성남시 분당구 대왕판교로606번길 58,음식점,"새로오픈,인기많은,주차,혼밥"
맥도날드 판교테크노밸리점,대한민국 경기도 성남시 분당구 판교역로 231,음식점,"데이트,새로오픈"
모모카페,"KR, 12 판교역로 192beon-gil 성남시 경기도 대한민국",카페,분위기좋은
몽중헌 판교점,대한민국 경기도 성남시 분당구 분당내곡로 131 2층,음식점,"데이트,새로오픈,주차"
밥볶다 동판교점,대한민국 경기도 성남시 분당구 판교역로 240,음식점,"새로오픈,인기많은"
버거킹 판교유스페이스점,대한민국 경기도 성남시 분당구 대왕판교로 660,음식점,"데이트,주차"
빕스 판교점,대한민국 경기 성남시 분당구 삼평동 740,음식점,"데이트,새로오픈,주차"
세븐일레븐 판교도서관점,대한민국 경기도 성남시 분당구 판교동 운중로277번길 46-8,편의점,
아르틴,대한민국 경기도 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 107호,카페,"분위기좋은,인테리어"
아브뉴프랑 판교점,대한민국 경기도 성남시 분당구 동판교로177번길 25,카페,"분위기좋은,인테리어,조용한"
어글리스토브 판교라스트리트점,대한민국 경기도 성남시 분당구 판교역로 145 라스트리트 2동 2층,음식점,"데이트,새로오픈"
에머이 판교점,대한민국 경기도 성남시 분당구 삼평동 90,음식점,"새로오픈,인기많은"
오리지널팬케이크하우스 판교점,대한민국 경기도 성남시 분당구 분당내곡로 131,음식점,"데이트,새로오픈,인기많은,주차,혼밥"
우루루 판교점,대한민국 경기도 성남시 분당구 판교동 511,음식점,"새로오픈,주차"
원타임편의점,대한민국 성남시 분당구 삼평동 651번지 1층 성남시 경기도 KR,편의점,
월페이퍼(wall paper),대한민국 경기도 성남시 분당구 새마을로 101,카페,"분위기좋은,조용한"
이마트24 리저브판교알파돔2호점,대한민국 경기도 성남시 분당구 백현동 537,편의점,
이마트24 판교GB점,대한민국 경기도 성남시 분당구 삼평동 631번지 C동 제지층 103호,편의점,
이마트24 판교알파돔점 리저브,대한민국 경기도 성남시 분당구 백현동,편의점,
이탈리 현대백화점 판교점 (Eataly Pangyo),대한민국 경기도 성남시 백현동 판교역로 146번길 20,음식점,"데이트,새로오픈"
이태리부대찌개 판교점,대한민국 경기도 성남시 분당구 판교역로 230,음식점,혼밥
일편닭심,대한민국 경기도 성남시 판교역로192번길 22,음식점,"데이트,새로오픈,인기많은"
카페 온더데스크,대한민국 경기도 성남시 분당구 서현로237번길 3,카페,"분위기좋은,인테리어,조용한"
카페베네 분당야탑점,대한민국 경기도 성남시 분당구 야탑동 345-2,카페,분위기좋은
탭퍼블릭 판교점,대한민국 경기도 성남시 분당구 분당내곡로 131,음식점,"데이트,새로오픈,인기많은"
화포식당 판교점,대한민국 경기도 성남시 분당구 삼평동 211-11,카페,
